item_id,product_name,department_name,price,stock_quantity
1,"Eldon Base for stackable storage shelf, platinum",Storage & Organization,38.94,6
49,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Appliances,208.16,49
50,"Cardinal Slant-D¨ Ring Binder, Heavy Gauge Vinyl",Binders and Binder Accessories,8.69,27
80,R380,Telephones and Communication,195.99,30
85,Holmes HEPA Air Purifier,Appliances,21.78,19
86,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Office Furnishings,6.64,21
97,"Angle-D Binders with Locking Rings, Label Holders",Binders and Binder Accessories,7.3,12
98,"SAFCO Mobile Desk Side File, Wire Frame",Storage & Organization,42.76,22
103,"SAFCO Commercial Wire Shelving, Black",Storage & Organization,138.14,21
107,Xerox 198,Paper,4.98,44
127,Xerox 1980,Paper,4.28,45
128,Advantus Map Pennant Flags and Round Head Tacks,Rubber Bands,3.95,32
134,Holmes HEPA Air Purifier,Appliances,21.78,32
135,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Computer Peripherals,47.98,31
149,"Wilson Jones 1"" Hanging DublLock¨ Ring Binders",Binders and Binder Accessories,5.28,15
160,Ultra Commercial Grade Dual Valve Door Closer,Office Furnishings,39.89,46
161,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Envelopes,15.74,16
175,Hon 4-Shelf Metal Bookcases,Bookcases,100.98,44
176,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Tables,71.37,11
203,g520,Telephones and Communication,65.99,15
204,LX 788,Telephones and Communication,155.99,18
213,Avery 52,Labels,3.69,13
214,Plymouth Boxed Rubber Bands by Plymouth,Rubber Bands,4.71,21
229,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Binders and Binder Accessories,15.99,33
230,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Computer Peripherals,4.89,38
231,Newell 335,Pens & Art Supplies,2.88,30
249,SANFORD Liquid Accentª Tank-Style Highlighters,Pens & Art Supplies,2.84,23
250,Canon PC940 Copier,Copiers and Fax,449.99,25
256,"Tenex Personal Project File with Scoop Front Design, Black",Storage & Organization,13.48,28
330,Col-Erase¨ Pencils with Erasers,Pens & Art Supplies,6.08,49
331,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Computer Peripherals,5.98,10
332,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Paper,40.99,21
362,Self-Adhesive Address Labels for Typewriters by Universal,Labels,7.31,39
363,Accessory37,Telephones and Communication,20.99,24
381,Fuji 5.2GB DVD-RAM,Computer Peripherals,40.96,27
406,Bevis Steel Folding Chairs,Chairs & Chairmats,95.95,39
